Organisation Name,Section,Costs (Higher),Financial year: End Date
Irish Grain & Feed Association (IGFA),II - In-house lobbyists and trade/business/professional associations,24999,01/05/2017
World Economic Forum,III - Non-governmental organisations,9999,01/06/2017
Bees for Development (BfD),III - Non-governmental organisations,9999,01/04/2017
World Shipping Council (WSC),II - In-house lobbyists and trade/business/professional associations,199999,01/08/2017
ACI WORLDWIDE,II - In-house lobbyists and trade/business/professional associations,48000,01/12/2017
DVKG Deutsche Visa uns Konsular Gesellschaft mbH (DVKG),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Fabrizio Protti,I - Professional consultancies/law firms/self-employed consultants,60000,01/12/2017
Union of Greek Shipowners - ______ _______ __________ (UGS),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Pagita,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
The Society of Motor Manufacturers and Traders Ltd. (SMMT),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
CONFLAVORO PMI,II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
_____________ ____________ ____,III - Non-governmental organisations,9999,01/12/2017
CERCLE D'ECONOMIA (CE),"IV - Think tanks, research and academic institutions",49999,01/12/2017
Instituut Natuur- en Bosonderzoek/Research Institute for Nature and Forest (INBO),"IV - Think tanks, research and academic institutions",9999,01/12/2017
SC LEGAL CONSULTING (SC LEGAL),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2017
Lotras,II - In-house lobbyists and trade/business/professional associations,5000,01/12/2017
EUTOP Europe GmbH (EUTOP),I - Professional consultancies/law firms/self-employed consultants,2749000,01/12/2017
Gavekal,I - Professional consultancies/law firms/self-employed consultants, -   ,01/12/2017
GfPS mbH (GfPS),II - In-house lobbyists and trade/business/professional associations,20000,01/12/2017
LIMMAT M&M S.L (LIMMAT),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Renewables Grid Initiative e.V. (RGI),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
F_d_ration europ_enne des industries des aliments pour animaux familiers (FEDIAF),II - In-house lobbyists and trade/business/professional associations,700000,01/12/2017
Box Inc. (Box),II - In-house lobbyists and trade/business/professional associations,24999,01/01/2017
Bundesvereinigung gegen Schienenl_rm (BVS),III - Non-governmental organisations,9999,01/09/2017
Advance Software Limited (ADV),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
Arbeitgebervereinigung fôr Unternehmen aus dem Bereich EDV und Kommunikationstechnologie e. V. (AGEV) (AGEV e. V.),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Deutscher Speditions- und Logistikverband eV (DSLV),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Bundesverband deutscher Wohnungs- und Immobilienunternehmen (GdW),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
CETS - European Committee for Surface Treatment aisbl (CETS),"IV - Think tanks, research and academic institutions",15000,01/12/2017
European Development Finance Institutions (EDFI),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
International Federation of Industrial Energy Consumers (IFIEC Europe),III - Non-governmental organisations,199999,01/12/2017
Verband ƒsterreichischer Zeitungen (VƒZ),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
WEEE Forum aisbl (WEEE Forum),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Sony Europe Limited (Sony),II - In-house lobbyists and trade/business/professional associations,299999,01/03/2017
AfW - Bundesverband Finanzdienstleistung e.V.,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Bundesverband Mineralische Rohstoffe e. V. (MIRO),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Stiftung Pro Wettbewerb gAG,III - Non-governmental organisations,9999,01/12/2017
Open Society European Policy Institute (OSEPI),III - Non-governmental organisations,1749000,01/12/2017
European Forest Nurseries Association (EFNA),II - In-house lobbyists and trade/business/professional associations,9999,01/05/2017
European Writing Instrument Manufacturer's Association (EWIMA),II - In-house lobbyists and trade/business/professional associations,3000,01/12/2017
Euro Coop - European Community of Consumer Co-operatives (EURO COOP),III - Non-governmental organisations,499999,01/12/2017
BRITA GmbH,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
Bundesarbeitsgemeinschaft Deutscher Kommunalversicherer (BADK),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",115000,01/12/2017
Verband der deutschen Rauchtabakindustrie e.V. (VdR),II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
OMNICONSUL - Public Affairs Consultancy Lda (OMNICONSUL),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2017
Council of Geopolitics (CoG),"IV - Think tanks, research and academic institutions",9999,01/12/2017
Call Center Verband Deutschland e. V. (CCV) (CCV e. V.),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
evofenedex the Dutch Shippers' organization (evofenedex),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
ASSOCIAZIONE INTERMEDIARI SPECIALISTI DEL CREDITO (A.I.S.C.),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",4500,01/12/2017
European Federation of Museum & Tourist Railways (FEDECRAIL),III - Non-governmental organisations,49999,01/12/2017
HRVATSKA DISKOGRAFSKA UDRUGA (HDU),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2017
Tetra Pak International,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
Federation of European Direct and Interactive Marketing (FEDMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2017
NB-Med (NB-Med),III - Non-governmental organisations,9999,01/03/2017
European Association of Real Estate Professions (CEPI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
Ulster Farmers' Union (UFU),III - Non-governmental organisations,99999,01/03/2017
TOTAL S.A.,II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2017
Association Belge des Consommateurs Test-Achats / Belgische Verbruikersunie Test Aankoop (Test-Achats),III - Non-governmental organisations,99999,01/12/2017
Dr.Elisabeth Berger bc - bergercommunications,I - Professional consultancies/law firms/self-employed consultants,4000,01/12/2017
Verband der Verarbeitungsbetriebe Tierischer Nebenprodukte e.V. (VVTN),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
Marking Public Affairs bvba,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2017
Safeguard for Agricultural Varieties in Europe (SAVE Foundation),III - Non-governmental organisations,9999,01/12/2017
Palo Alto Networks Inc.,II - In-house lobbyists and trade/business/professional associations,24999,01/07/2017
Verband der Kali- und Salzindustrie e.V. (VKS),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
International Air Transport Association (IATA),II - In-house lobbyists and trade/business/professional associations,999999,01/04/2017
Industriegewerkschaft Bauen-Agrar-Umwelt (IG BAU),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
Zweites Deutsches Fernsehen (ZDF),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/12/2017
European Committee of Associations of Manufacturers of Gears and Transmission Parts (EUROTRANS),III - Non-governmental organisations,49999,01/12/2017
Bundesarbeitgeberverband Chemie e.V. (BAVC),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
Centrul National de Promovare a Transportului Intermodal (CNPTI),III - Non-governmental organisations,4500,01/12/2017
European Student Think Tank (EST),"IV - Think tanks, research and academic institutions",500,01/09/2017
NEX,II - In-house lobbyists and trade/business/professional associations,499999,01/03/2017
EURELECTRIC aisbl (EURELECTRIC),II - In-house lobbyists and trade/business/professional associations,699999,01/11/2017
Aviva Plc (Aviva),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
"ECTAA, Group of National Travel Agents' and Tour Operators' Associations within the EU (ECTAA)",II - In-house lobbyists and trade/business/professional associations,400000,01/03/2017
EUROPEAN SERVICES FORUM (ESF),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2017
