Section,Costs (Higher)
Svenska kyrkan,13087511
Secretariat of COMECE (Commission of the Episcopates of the European Community),1499999
EKD-Office Brussels,599999
Synodalverband s•À_dliches Ostfriesland,436000
Africa Europe Faith and Justice Network,199999
Church of Cyprus to the E.U. in Brussels,199999
Conference of European Churches,199999
Evangelischer Verband Kirche Wirtschaft Arbeitswelt,199999
European Evangelical Alliance,99999
Jesuit European Social Centre,99999
Aid to the Church in Need,49999
Asociacion Enraizados,49999
Churches' Commission for Migrants in Europe,49999
Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz,49999
Fondazione Migrantes,49999
Representation de l' Eglise de Grece aupres d' Union Europeenne,45000
•À_sterreichische Bischofskonferenz - Generalsekretariat,24999
Coordination Office of the Austrian Bishop's Conference,24999
Dreik_nigsaktion - Hilfswerk der Katholischen Jungschar,24999
Hospitality Europe,24999
Irish Council of Churches,24999
Office of the Anglican Bishop in Europe,24999
Representation de l'Eglise Orthodoxe Roumaine aupres des Institutions europeennes,24999
Welthaus Graz - Welthaus •À_sterreich,24999
World Council of Churches,24999
Chapel for Europe,9999
Churches' Legislation Advisory Service,9999
Comite Protestant Evangelique pour la Dignite Humaine,9999
Committee of the Representatives of the Orthodox Churches in European Union,9999
"D_mocratie, Construction europ_enne et Religions",9999
FORUMBrussels International,9999
Das  Kommissariat der deutschen Bisch_fe _ Katholisches B•À_ro in Berlin,9999
Pro-Cathedral of the Holy Trinity Brussels,9999
Representation of the Ukrainian Orthodox Church Kyiv Patriarchate to the European Institutions,9999
Zentralkomitee der deutschen Katholiken,9999
