Section,Costs (Higher)
Svenska kyrkan,0
Secretariat of COMECE (Commission of the Episcopates of the European Community),5
EKD-Office Brussels,9
Synodalverband sニ_dliches Ostfriesland,0
Africa Europe Faith and Justice Network,0
Church of Cyprus to the E.U. in Brussels,0
Conference of European Churches,2
Evangelischer Verband Kirche Wirtschaft Arbeitswelt,0
European Evangelical Alliance,0
Jesuit European Social Centre,0
Aid to the Church in Need,1
Asociacion Enraizados,0
Churches' Commission for Migrants in Europe,1
Evangelische Kirche Berlin-Brandenburg-schlesische Oberlausitz,0
Fondazione Migrantes,0
Representation de l' Eglise de Grece aupres d' Union Europeenne,0
ニ_sterreichische Bischofskonferenz - Generalsekretariat,0
Coordination Office of the Austrian Bishop's Conference,0
Dreik_nigsaktion - Hilfswerk der Katholischen Jungschar,0
Hospitality Europe,0
Irish Council of Churches,0
Office of the Anglican Bishop in Europe,0
Representation de l'Eglise Orthodoxe Roumaine aupres des Institutions europeennes,0
Welthaus Graz - Welthaus ニ_sterreich,0
World Council of Churches,2
Chapel for Europe,0
Churches' Legislation Advisory Service,0
Comite Protestant Evangelique pour la Dignite Humaine,0
Committee of the Representatives of the Orthodox Churches in European Union,0
"D_mocratie, Construction europ_enne et Religions",0
FORUMBrussels International,0
Das  Kommissariat der deutschen Bisch_fe _ Katholisches Bニ_ro in Berlin,1
Pro-Cathedral of the Holy Trinity Brussels,0
Representation of the Ukrainian Orthodox Church Kyiv Patriarchate to the European Institutions,0
Zentralkomitee der deutschen Katholiken,0
